Unnamed: 0,Doc,OP_Updated_Num,OP_Unit,OTR_Updated_Num,OTR_Unit,PCO2_Updated_Num,PCO2_Unit,WVTR_Updated_Num,WVTR_Unit,WVP_Updated_Num,WVP_Unit,thickness_Updated_Num,thickness_Unit,temperature_Updated_Num,temperature_Unit,RH_Updated_Num,RH_Unit,Base Material,Type,Secondary Material,Composition,Plasticizer,OTR_temperature_Num,OTR_RH_Num
27,Suitability of novel galactomannans as edible coatings for tropical fruits,,,,,,,188804.95199999996,g/m2day,5590.079999999999,gum/m2daykPa,3e-06,m,20.0,°C,0.0,%,fruit,coated,galactomannans,"[‘GAL’, ‘1.0’, ’%’]","[‘GLY’, ‘1.5’, ‘%’]",20.0,0.0
28,Suitability of novel galactomannans as edible coatings for tropical fruits,,,,,,,180342.28799999997,g/m2day,5339.5199999999995,gum/m2daykPa,3e-06,m,20.0,°C,0.0,%,fruit,coated,galactomannans,"[‘GAL’, ‘1.5’, ’%’]","[‘GLY’, ‘1.5’, ‘%’]",20.0,0.0
29,Suitability of novel galactomannans as edible coatings for tropical fruits,,,,,,,52526.880000000005,g/m2day,1555.2,gum/m2daykPa,3e-06,m,20.0,°C,,%,locust bean gum,individual,None,"[‘LBG’, ‘1.0’, ’%’]","[‘PEG’, ‘1.7’, ‘%’]",20.0,50.0
30,Suitability of novel galactomannans as edible coatings for tropical fruits,,,,,,,93381.12,g/m2day,2764.7999999999997,gum/m2daykPa,3e-06,m,20.0,°C,,%,locust bean gum,individual,None,"[‘LBG’, ‘1.0’, ’%’]","[‘PEG’, ‘0.4’, ‘%’]",20.0,50.0
31,Suitability of novel galactomannans as edible coatings for tropical fruits,,,,,,,253879.91999999995,g/m2day,7516.799999999999,gum/m2daykPa,3e-06,m,20.0,°C,,%,corn starch,individual,None,"[‘CS’, ‘5’, ’%’]","[‘GLY’, ‘1.4’, ‘%’]",20.0,50.0
32,Suitability of novel galactomannans as edible coatings for tropical fruits,6065.035129461162,cm3um/m2dayatm,2021.678376487054,cm3/m2day,,,,,,,3e-06,m,20.0,°C,,%,fruit,coated,galactomannans,"[‘GAL’, ‘0.5’, ’%’]","[‘GLY’, ‘1.5’, ‘%’]",20.0,50.0
33,Suitability of novel galactomannans as edible coatings for tropical fruits,2634.308187543737,cm3um/m2dayatm,878.1027291812456,cm3/m2day,,,,,,,3e-06,m,20.0,°C,,%,fruit,coated,galactomannans,"[‘GAL’, ‘1.0’, ’%’]","[‘GLY’, ‘1.5’, ‘%’]",20.0,50.0
34,Suitability of novel galactomannans as edible coatings for tropical fruits,2511.7822253324007,cm3um/m2dayatm,837.2607417774669,cm3/m2day,,,,,,,3e-06,m,20.0,°C,,%,fruit,coated,galactomannans,"[‘GAL’, ‘1.5’, ’%’]","[‘GLY’, ‘1.5’, ‘%’]",20.0,50.0
35,Gas transport properties of polypropylene clay composite membranes,170726.87178410185,cm3um/m2dayatm,1552.0624707659733,cm3/m2day,,,,,,,0.0001099999999999,m,25.0,°C,,,polypropylene,individual,None,None,,25.0,50.0
36,Gas transport properties of polypropylene clay composite membranes,39267.180510343474,cm3um/m2dayatm,309.19039771923997,cm3/m2day,,,,,,,0.000127,m,25.0,°C,,,polypropylene,nanocomposite,NaMMT,"[‘NaMMT’, ’5.0’, ’%’]",,25.0,50.0
