Base Material,Type,Secondary Material,WVTR_Updated_Num,OTR_Updated_Num,WVTR_Updated_Unit,OTR_Updated_Unit
methylcellulose,individual,None,26469.42776470588,,g/m2day,
methylcellulose,individual,None,21834.70305882353,,g/m2day,
methylcellulose,individual,None,13540.262400000001,,g/m2day,
methylcellulose,individual,None,40544.1855,,g/m2day,
methylcellulose,individual,None,40051.74600000001,,g/m2day,
methylcellulose,individual,None,34348.45976470588,,g/m2day,
LDPE,individual,None,76.163976,,g/m2day,
HDPE,individual,None,19.259856,,g/m2day,
carrot puree,blend,CMC,,17.74533096,,cm3/m2day
carrot puree,blend,CMC,,15.82809984,,cm3/m2day
carrot puree,blend,CMC,,13.009157280000002,,cm3/m2day
carrot puree,blend,CMC,,12.03741,,cm3/m2day
carrot puree,blend,CMC,,11.442105360000001,,cm3/m2day
carrot puree,blend,CMC,,11.00438136,,cm3/m2day
carrot puree,blend,CMC,580509.5688,,g/m2day,
carrot puree,blend,CMC,427743.89280000003,,g/m2day,
carrot puree,blend,CMC,248977.4112,,g/m2day,
carrot puree,blend,CMC,202053.3984,,g/m2day,
carrot puree,blend,CMC,185770.06559999997,,g/m2day,
carrot puree,blend,CMC,154166.3928,,g/m2day,
carrot puree,blend,gelatin,,12.08993688,,cm3/m2day
carrot puree,blend,gelatin,,11.35456056,,cm3/m2day
carrot puree,blend,gelatin,,12.230008559999998,,cm3/m2day
carrot puree,blend,gelatin,,11.71349424,,cm3/m2day
carrot puree,blend,gelatin,,12.9566304,,cm3/m2day
carrot puree,blend,gelatin,,12.755277360000001,,cm3/m2day
carrot puree,blend,gelatin,251428.66559999998,,g/m2day,
carrot puree,blend,gelatin,211333.14720000004,,g/m2day,
carrot puree,blend,gelatin,188746.5888,,g/m2day,
carrot puree,blend,gelatin,237333.9528,,g/m2day,
carrot puree,blend,gelatin,303692.9112,,g/m2day,
carrot puree,blend,gelatin,335121.49439999997,,g/m2day,
carrot puree,blend,CMC,,11.89733832,,cm3/m2day
carrot puree,blend,CMC,,12.01990104,,cm3/m2day
carrot puree,blend,CMC,,12.04616448,,cm3/m2day
carrot puree,blend,CMC,,12.238763039999998,,cm3/m2day
carrot puree,blend,CMC,,12.475134,,cm3/m2day
carrot puree,blend,CMC,,12.72025944,,cm3/m2day
carrot puree,blend,CMC,286446.5856,,g/m2day,
carrot puree,blend,CMC,276028.75440000003,,g/m2day,
carrot puree,blend,CMC,235407.9672,,g/m2day,
carrot puree,blend,CMC,213784.40160000004,,g/m2day,
carrot puree,blend,CMC,200127.41280000002,,g/m2day,
carrot puree,blend,CMC,190935.2088,,g/m2day,
polypropylene,individual,None,10359.467999999972,,g/m2day,
polypropylene,individual,None,,0.0231481481481481,,
polypropylene,coated,corn–zein,,0.0053935185185185,,
polypropylene,coated,corn–zein,,0.009386574074074,,
polypropylene,coated,corn–zein,,0.0099305555555555,,
polypropylene,coated,corn–zein,,0.007048611111111,,
polypropylene,coated,corn–zein,,0.0056481481481481,,
polypropylene,coated,corn–zein,55080.27000000007,,g/m2day,
polypropylene,coated,corn–zein,240748.2,,g/m2day,
polypropylene,coated,corn–zein,34653.14999999993,,g/m2day,
polypropylene,coated,corn–zein,78425.54999999992,,g/m2day,
chitosan,individual,None,13395.164999999977,,g/m2day,
chitosan,individual,None,7943.879999999996,,g/m2day,
chitosan,individual,None,9119.250000000031,,g/m2day,
chitosan,individual,None,16515.974999999966,,g/m2day,
chitosan,individual,None,19251.749999999964,,g/m2day,
chitosan,individual,None,1000.0000000000001,,g/m2day,
chitosan,individual,None,759.9999999999995,,g/m2day,
chitosan,blend,stearic acid,13699.140000000047,,g/m2day,
chitosan,blend,palmitic acid,14611.064999999988,,g/m2day,
chitosan,individual,None,,3.7037037037037e-06,,
chitosan,blend,palmitic acid,,7.39583333333333e-08,,
chitosan,blend,palmitic acid,,2.70833333333333e-08,,
polypropylene,individual,None,,12022877.968500033,,cm3/m2day
polypropylene,nanocomposite,OMMT,,9591284.671500003,,cm3/m2day
polypropylene,nanocomposite,OMMT,,8240399.506500033,,cm3/m2day
polypropylene,nanocomposite,OMMT,,7159691.374500027,,cm3/m2day
polypropylene,nanocomposite,OMMT,,6484248.792000001,,cm3/m2day
polylactic acid,individual,None,,,,
polylactic acid,individual,None,,,,
polylactic acid,individual,None,,,,
polylactic acid,individual,None,,,,
polylactic acid,individual,None,,,,
polylactic acid,individual,None,,328.3731910368,,cm3/m2day
polylactic acid,nanocomposite,OMMT,,275.833529496,,cm3/m2day
polylactic acid,nanocomposite,OMMT,,249.53332068,,cm3/m2day
polylactic acid,individual,None,433.5552,,g/m2day,
polylactic acid,nanocomposite,Ag,416.88,,g/m2day,
polylactic acid,nanocomposite,"CNC, Ag",275.1408,,g/m2day,
polylactic acid,nanocomposite,"sCNC, Ag",179.25839999999997,,g/m2day,
polylactic acid,nanocomposite,"CNC, Ag",229.28400000000002,,g/m2day,
polylactic acid,nanocomposite,"sCNC, Ag",179.25839999999997,,g/m2day,
polylactic acid,individual,None,,3.5300926e-05,,
polylactic acid,nanocomposite,Ag,,2.7662037e-05,,
polylactic acid,nanocomposite,"CNC, Ag",,1.9097222e-05,,
polylactic acid,nanocomposite,"sCNC, Ag",,1.6435185e-05,,
polylactic acid,nanocomposite,"CNC, Ag",,2.0601852e-05,,
polylactic acid,nanocomposite,"sCNC, Ag",,1.4583333e-05,,
SPI,individual,None,107329.66617429837,,g/m2day,
SPI,individual,None,118149.89268292682,,g/m2day,
SPI,individual,None,108473.87755102041,,g/m2day,
SPI,individual,None,106275.93323216995,,g/m2day,
polyethylene terephthalate,nanocomposite,OMMT,,3.02061983092128,,cm3/m2day
polyethylene terephthalate,nanocomposite,OMMT,,2.23498631740608,,cm3/m2day
polyethylene terephthalate,nanocomposite,OMMT,,1.8633164798304003,,cm3/m2day
polyethylene terephthalate,nanocomposite,OMMT,,1.5198750778176,,cm3/m2day
agar,individual,None,305321.53388429753,,g/m2day,
agar,blend,lignin,286008.7164179105,,g/m2day,
agar,blend,lignin,270801.42716857616,,g/m2day,
agar,blend,lignin,271373.54816112085,,g/m2day,
agar,blend,lignin,231736.23529411765,,g/m2day,
methylcellulose,individual,None,,6.89009967576,,cm3/m2day
denatured whey protein isolate,individual,None,,597.8174383944,,cm3/m2day
whey protein isolate,individual,None,,790.3349319096,,cm3/m2day
polylactic acid,individual,None,5.2034722e-06,,,
polylactic acid,nanocomposite,OMMT,4.58611109e-06,,,
polylactic acid,nanocomposite,OMMT,4.08634257e-06,,,
polylactic acid,nanocomposite,OMMT,3.70416665e-06,,,
polylactic acid,nanocomposite,OMMT,3.35138887e-06,,,
polylactic acid,nanocomposite,OMMT,3.14560184e-06,,,
polylactic acid,nanocomposite,OMMT,2.96921295e-06,,,
polyurethane,individual,None,,9692.960255999998,,cm3/m2day
polyurethane,nanocomposite,OMMT,,8011.224648,,cm3/m2day
polyurethane,nanocomposite,OMMT,,6958.936152,,cm3/m2day
polyurethane,nanocomposite,OMMT,,6922.1673359999995,,cm3/m2day
polyurethane,nanocomposite,OMMT,,7328.3752079999995,,cm3/m2day
polyurethane,nanocomposite,OMMT,,6192.043704,,cm3/m2day
polyurethane,nanocomposite,OMMT,,5681.65752,,cm3/m2day
polysulfone,individual,None,,,,
polysulfone,nanocomposite,silica,,,,
polysulfone,nanocomposite,silica,,,,
polysulfone,nanocomposite,silica,,,,
polysulfone,individual,None,,6435.057563423999,,cm3/m2day
polysulfone,nanocomposite,silica,,9192.939376319999,,cm3/m2day
polysulfone,nanocomposite,silica,,11162.863711439999,,cm3/m2day
polysulfone,nanocomposite,silica,,22325.709913919996,,cm3/m2day
microfibrillated cellulose,individual,None,,40529.740608,,cm3/m2day
polyethylene terephthalate,individual,None,,10132435.151999999,,cm3/m2day
polyethylene terephthalate,individual,None,,50662175.76,,cm3/m2day
polypropylene,individual,None,,506621757.6,,cm3/m2day
polypropylene,individual,None,,1013243515.2,,cm3/m2day
polyvinylidene chloride,individual,None,,0.10132435152,,cm3/m2day
polyvinylidene chloride,individual,None,,3.0397305456,,cm3/m2day
EVOH,individual,None,,22595.33038896,,cm3/m2day
polylactic acid,individual,None,,171.2381540688,,cm3/m2day
microfibrillated cellulose,individual,None,15907940697.6,,g/m2day,
polyethylene terephthalate,individual,None,13172.244487920001,,g/m2day,
polypropylene,individual,None,499532250.1296961,,g/m2day,
polyvinylidene chloride,individual,None,708261751.9454399,,g/m2day,
EVOH,individual,None,96258781.77552,,g/m2day,
polylactic acid,individual,None,391114499.773032,,g/m2day,
